,step,Function,Model,ptc regulation,alphaHh_by,x_reach,t_reach
0,0,Hh,Overshoot,Yes,1,22.52923280279279,10990
1,0,Signal,Overshoot,Yes,1,29.449684828299198,10990
2,0,Hh,SS,Yes,1,12.449564625323305,False
3,0,Signal,SS,Yes,1,15.647896524713929,False
4,0,Hh,Overshoot,Yes,0.5,20.418069986675448,4837
5,0,Signal,Overshoot,Yes,0.5,21.802939457954764,11311
6,0,Hh,SS,Yes,0.5,11.596384791790598,False
7,0,Signal,SS,Yes,0.5,10.38847542283925,False
8,0,Hh,Overshoot,Yes,2,24.43130386273583,4582
9,0,Signal,Overshoot,Yes,2,37.48064651425716,10960
10,0,Hh,SS,Yes,2,15.296668899312905,False
11,0,Signal,SS,Yes,2,22.07396234359986,False
12,0,Hh,Overshoot,No,1,22.58657592143699,57600
13,0,Signal,Overshoot,No,1,31.42133978990519,57600
14,0,Hh,SS,No,1,22.78508353548885,False
15,0,Signal,SS,No,1,29.608163722358057,False
16,0,Hh,Overshoot,No,0.5,20.459826570079926,57600
17,0,Signal,Overshoot,No,0.5,23.53253602433881,57600
18,0,Hh,SS,No,0.5,20.705924048560917,False
19,0,Signal,SS,No,0.5,21.774233335937637,False
20,0,Hh,Overshoot,No,2,24.489685784718446,57600
21,0,Signal,Overshoot,No,2,39.60700621243963,57600
22,0,Hh,SS,No,2,24.601750564827483,False
23,0,Signal,SS,No,2,37.732568794765065,False
24,1,Hh,Overshoot,Yes,1,13.628174219125228,57600
25,1,Signal,Overshoot,Yes,1,1.8063315276683767,57600
26,1,Hh,SS,Yes,1,13.657090332173098,False
27,1,Signal,SS,Yes,1,1.1982725204849487,False
28,1,Hh,Overshoot,Yes,0.5,13.500744686296088,1991
29,1,Signal,Overshoot,Yes,0.5,1.8004939674979568,57600
30,1,Hh,SS,Yes,0.5,13.482141964902453,False
31,1,Signal,SS,Yes,0.5,1.191590922833356,False
32,1,Hh,Overshoot,Yes,2,13.784488662281788,3160
33,1,Signal,Overshoot,Yes,2,2.4552614347687296,5992
34,1,Hh,SS,Yes,2,13.67291452587449,False
35,1,Signal,SS,Yes,2,2.8433114819258236,False
36,1,Hh,Overshoot,No,1,13.628174219125228,57600
37,1,Signal,Overshoot,No,1,1.8063315271243994,57600
38,1,Hh,SS,No,1,13.657090925933872,False
39,1,Signal,SS,No,1,1.1982725635264444,False
40,1,Hh,Overshoot,No,0.5,13.500744686296088,1991
41,1,Signal,Overshoot,No,0.5,1.8004939674979568,57600
42,1,Hh,SS,No,0.5,13.482141964902453,False
43,1,Signal,SS,No,0.5,1.191590922833356,False
44,1,Hh,Overshoot,No,2,13.784369485402706,3164
45,1,Signal,Overshoot,No,2,2.316371247221781,5001
46,1,Hh,SS,No,2,13.819215358444467,False
47,1,Signal,SS,No,2,3.204549445839433,False
48,2,Hh,Overshoot,Yes,1,48.01033081440459,8781
49,2,Signal,Overshoot,Yes,1,50.11813686466885,8781
50,2,Hh,SS,Yes,1,38.93881660970404,False
51,2,Signal,SS,Yes,1,40.275835612468754,False
52,2,Hh,Overshoot,Yes,0.5,44.50549077069692,6239
53,2,Signal,Overshoot,Yes,0.5,34.10263886303541,8626
54,2,Hh,SS,Yes,0.5,37.54839994035369,False
55,2,Signal,SS,Yes,0.5,25.92526441350067,False
56,2,Hh,Overshoot,Yes,2,50.86054582644248,6177
57,2,Signal,Overshoot,Yes,2,67.01995684046508,9224
58,2,Hh,SS,Yes,2,43.12098407337457,False
59,2,Signal,SS,Yes,2,55.793860954126366,False
60,2,Hh,Overshoot,No,1,49.150907220296546,57600
61,2,Signal,Overshoot,No,1,52.72818536968599,57600
62,2,Hh,SS,No,1,48.98751229375817,False
63,2,Signal,SS,No,1,51.83217906392036,False
64,2,Hh,Overshoot,No,0.5,45.31124205078639,57600
65,2,Signal,Overshoot,No,0.5,36.270220398940694,57600
66,2,Hh,SS,No,0.5,45.25343435732404,False
67,2,Signal,SS,No,0.5,35.497825987455755,False
68,2,Hh,Overshoot,No,2,52.22995189739336,57600
69,2,Signal,Overshoot,No,2,70.33259510240703,57600
70,2,Hh,SS,No,2,51.94672154637145,False
71,2,Signal,SS,No,2,69.20438291829322,False
72,3,Hh,Overshoot,Yes,1,22.45202505130385,9407
73,3,Signal,Overshoot,Yes,1,28.07481448586762,9407
74,3,Hh,SS,Yes,1,15.466747792868318,False
75,3,Signal,SS,Yes,1,20.038967950690207,False
76,3,Hh,Overshoot,Yes,0.5,20.375589135444116,4104
77,3,Signal,Overshoot,Yes,0.5,20.378508090023985,9718
78,3,Hh,SS,Yes,0.5,14.229785868340969,False
79,3,Signal,SS,Yes,0.5,13.821931795078811,False
80,3,Hh,Overshoot,Yes,2,24.343010750007394,4014
81,3,Signal,Overshoot,Yes,2,36.14829710173732,9382
82,3,Hh,SS,Yes,2,18.239432649633585,False
83,3,Signal,SS,Yes,2,27.149338473915407,False
84,3,Hh,Overshoot,No,1,22.588374642397497,57600
85,3,Signal,Overshoot,No,1,29.974010033562934,57600
86,3,Hh,SS,No,1,22.78508353548885,False
87,3,Signal,SS,No,1,29.583439043914353,False
88,3,Hh,Overshoot,No,0.5,20.463021279860797,57600
89,3,Signal,Overshoot,No,0.5,22.096385683146423,57600
90,3,Hh,SS,No,0.5,20.705924048560917,False
91,3,Signal,SS,No,0.5,21.760257876831858,False
92,3,Hh,Overshoot,No,2,24.49046742567316,57600
93,3,Signal,Overshoot,No,2,38.15028241814052,57600
94,3,Hh,SS,No,2,24.601750564827483,False
95,3,Signal,SS,No,2,37.71743372147864,False
96,4,Hh,Overshoot,Yes,1,29.195413508581055,17155
97,4,Signal,Overshoot,Yes,1,31.20059844461896,17155
98,4,Hh,SS,Yes,1,22.67907691015907,False
99,4,Signal,SS,Yes,1,20.885338265655434,False
100,4,Hh,Overshoot,Yes,0.5,22.880600249989698,10204
101,4,Signal,Overshoot,Yes,0.5,18.60450046966288,18915
102,4,Hh,SS,Yes,0.5,20.036685528743945,False
103,4,Signal,SS,Yes,0.5,12.150349730995373,False
104,4,Hh,Overshoot,Yes,2,36.066579546198454,9036
105,4,Signal,Overshoot,Yes,2,45.650616367040016,16777
106,4,Hh,SS,Yes,2,26.471306349940605,False
107,4,Signal,SS,Yes,2,32.32248573727003,False
108,4,Hh,Overshoot,No,1,29.31489416661391,57600
109,4,Signal,Overshoot,No,1,32.152910241633165,57600
110,4,Hh,SS,No,1,29.695286458033692,False
111,4,Signal,SS,No,1,29.74115159504032,False
112,4,Hh,Overshoot,No,0.5,22.997412172797837,57600
113,4,Signal,Overshoot,No,0.5,19.30941671171773,57600
114,4,Hh,SS,No,0.5,23.381934984704586,False
115,4,Signal,SS,No,0.5,16.945927817345748,False
116,4,Hh,Overshoot,No,2,36.1881587725155,57600
117,4,Signal,Overshoot,No,2,46.764484253879154,57600
118,4,Hh,SS,No,2,36.46395252065986,False
119,4,Signal,SS,No,2,44.284741181946444,False
120,5,Hh,Overshoot,Yes,1,,57600
121,5,Signal,Overshoot,Yes,1,,57600
122,5,Hh,SS,Yes,1,10.001518201944052,False
123,5,Signal,SS,Yes,1,12.751451464130284,False
124,5,Hh,Overshoot,Yes,0.5,,57600
125,5,Signal,Overshoot,Yes,0.5,,57600
126,5,Hh,SS,Yes,0.5,9.211180535139519,False
127,5,Signal,SS,Yes,0.5,8.83903222065166,False
128,5,Hh,Overshoot,Yes,2,17.539222825252523,2166
129,5,Signal,Overshoot,Yes,2,25.338071774537312,7324
130,5,Hh,SS,Yes,2,11.808859874864794,False
131,5,Signal,SS,Yes,2,17.27028893687364,False
132,5,Hh,Overshoot,No,1,,57600
133,5,Signal,Overshoot,No,1,,57600
134,5,Hh,SS,No,1,16.770125815617916,False
135,5,Signal,SS,No,1,22.532238438018254,False
136,5,Hh,Overshoot,No,0.5,,57600
137,5,Signal,Overshoot,No,0.5,,57600
138,5,Hh,SS,No,0.5,15.694766751697983,False
139,5,Signal,SS,No,0.5,16.74160838140307,False
140,5,Hh,Overshoot,No,2,17.62743584417842,57600
141,5,Signal,Overshoot,No,2,27.486842411880318,57600
142,5,Hh,SS,No,2,17.774492960502528,False
143,5,Signal,SS,No,2,28.18064616695358,False
144,6,Hh,Overshoot,Yes,1,,57600
145,6,Signal,Overshoot,Yes,1,,57600
146,6,Hh,SS,Yes,1,46.670988155816225,False
147,6,Signal,SS,Yes,1,49.266524650267,False
148,6,Hh,Overshoot,Yes,0.5,,57600
149,6,Signal,Overshoot,Yes,0.5,,57600
150,6,Hh,SS,Yes,0.5,44.62893320392153,False
151,6,Signal,SS,Yes,0.5,33.479501592730855,False
152,6,Hh,Overshoot,Yes,2,,57600
153,6,Signal,Overshoot,Yes,2,,57600
154,6,Hh,SS,Yes,2,49.59263854011505,False
155,6,Signal,SS,Yes,2,66.05204102032309,False
156,6,Hh,Overshoot,No,1,,57600
157,6,Signal,Overshoot,No,1,,57600
158,6,Hh,SS,No,1,52.3608768186986,False
159,6,Signal,SS,No,1,55.905737514195785,False
160,6,Hh,Overshoot,No,0.5,,57600
161,6,Signal,Overshoot,No,0.5,,57600
162,6,Hh,SS,No,0.5,49.88834312865732,False
163,6,Signal,SS,No,0.5,39.09640568259615,False
